area_type,area_code,area_name,year,births
Country,E92000001,ENGLAND,2019,325355
Country,E92000001,ENGLAND,2020,299115
Country,E92000001,ENGLAND,2021,324485
Country,E92000001,ENGLAND,2022,300580
Country,E92000001,ENGLAND,2023,281860
Country,E92000001,ENGLAND,2024,282680
Country,N92000002,NORTHERN IRELAND,2019,6045
Country,N92000002,NORTHERN IRELAND,2020,5670
Country,N92000002,NORTHERN IRELAND,2021,6655
Country,N92000002,NORTHERN IRELAND,2022,5385
Country,N92000002,NORTHERN IRELAND,2023,5370
Country,N92000002,NORTHERN IRELAND,2024,6235
Country,S92000003,SCOTLAND,2019,20680
Country,S92000003,SCOTLAND,2020,16850
Country,S92000003,SCOTLAND,2021,18910
Country,S92000003,SCOTLAND,2022,18870
Country,S92000003,SCOTLAND,2023,18275
Country,S92000003,SCOTLAND,2024,18420
Country,W92000004,WALES,2019,11745
Country,W92000004,WALES,2020,11385
Country,W92000004,WALES,2021,13945
Country,W92000004,WALES,2022,12090
Country,W92000004,WALES,2023,10520
Country,W92000004,WALES,2024,10105
Region,E12000006,EAST,2019,33995
Region,E12000006,EAST,2020,30140
Region,E12000006,EAST,2021,33150
Region,E12000006,EAST,2022,31850
Region,E12000006,EAST,2023,30360
Region,E12000006,EAST,2024,29590
Region,E12000004,EAST MIDLANDS,2019,23215
Region,E12000004,EAST MIDLANDS,2020,22890
Region,E12000004,EAST MIDLANDS,2021,23370
Region,E12000004,EAST MIDLANDS,2022,22685
Region,E12000004,EAST MIDLANDS,2023,20495
Region,E12000004,EAST MIDLANDS,2024,19985
Region,E12000007,LONDON,2019,88550
Region,E12000007,LONDON,2020,79640
Region,E12000007,LONDON,2021,85305
Region,E12000007,LONDON,2022,76845
Region,E12000007,LONDON,2023,74650
Region,E12000007,LONDON,2024,75550
Region,E12000001,NORTH EAST,2019,9445
Region,E12000001,NORTH EAST,2020,9085
Region,E12000001,NORTH EAST,2021,10080
Region,E12000001,NORTH EAST,2022,9720
Region,E12000001,NORTH EAST,2023,8965
Region,E12000001,NORTH EAST,2024,9030
Region,E12000002,NORTH WEST,2019,36805
Region,E12000002,NORTH WEST,2020,35505
Region,E12000002,NORTH WEST,2021,39135
Region,E12000002,NORTH WEST,2022,36220
Region,E12000002,NORTH WEST,2023,33005
Region,E12000002,NORTH WEST,2024,33685
Region,E12000008,SOUTH EAST,2019,51560
Region,E12000008,SOUTH EAST,2020,47685
Region,E12000008,SOUTH EAST,2021,48375
Region,E12000008,SOUTH EAST,2022,44160
Region,E12000008,SOUTH EAST,2023,42955
Region,E12000008,SOUTH EAST,2024,43015
Region,E12000009,SOUTH WEST,2019,23940
Region,E12000009,SOUTH WEST,2020,23370
Region,E12000009,SOUTH WEST,2021,25930
Region,E12000009,SOUTH WEST,2022,24510
Region,E12000009,SOUTH WEST,2023,22875
Region,E12000009,SOUTH WEST,2024,22330
Region,E12000005,WEST MIDLANDS,2019,34440
Region,E12000005,WEST MIDLANDS,2020,28145
Region,E12000005,WEST MIDLANDS,2021,34155
Region,E12000005,WEST MIDLANDS,2022,28695
Region,E12000005,WEST MIDLANDS,2023,26275
Region,E12000005,WEST MIDLANDS,2024,26880
Region,E12000003,YORKSHIRE AND THE HUMBER,2019,23405
Region,E12000003,YORKSHIRE AND THE HUMBER,2020,22655
Region,E12000003,YORKSHIRE AND THE HUMBER,2021,24985
Region,E12000003,YORKSHIRE AND THE HUMBER,2022,25895
Region,E12000003,YORKSHIRE AND THE HUMBER,2023,22280
Region,E12000003,YORKSHIRE AND THE HUMBER,2024,22615
UK,K02000001,UNITED KINGDOM,2019,363825
UK,K02000001,UNITED KINGDOM,2020,333020
UK,K02000001,UNITED KINGDOM,2021,363995
UK,K02000001,UNITED KINGDOM,2022,336925
UK,K02000001,UNITED KINGDOM,2023,316025
UK,K02000001,UNITED KINGDOM,2024,317440
