area_type,area_code,area_name,cohort_year,births_cohort,surv_1yr_pct,surviving_businesses
Country,E92000001,ENGLAND,2019,325355,94.6980989995543,308104.9999999999
Country,E92000001,ENGLAND,2020,299115,92.8773214315564,277809.99999999994
Country,E92000001,ENGLAND,2021,324485,93.5282062344947,303485.0000000002
Country,E92000001,ENGLAND,2022,300580,92.3780690664715,277670.00000000006
Country,E92000001,ENGLAND,2023,281860,93.3672745334563,263164.99999999994
Country,N92000002,NORTHERN IRELAND,2019,6045,88.0893300248139,5325
Country,N92000002,NORTHERN IRELAND,2020,5670,92.6807760141093,5254.999999999997
Country,N92000002,NORTHERN IRELAND,2021,6655,90.1577761081893,5999.999999999997
Country,N92000002,NORTHERN IRELAND,2022,5385,90.8077994428969,4889.999999999997
Country,N92000002,NORTHERN IRELAND,2023,5370,93.0167597765363,4994.999999999999
Country,S92000003,SCOTLAND,2019,20680,94.7292069632495,19589.999999999996
Country,S92000003,SCOTLAND,2020,16850,94.1839762611276,15870
Country,S92000003,SCOTLAND,2021,18910,93.7599153886832,17729.999999999993
Country,S92000003,SCOTLAND,2022,18870,92.4748277689454,17449.999999999996
Country,S92000003,SCOTLAND,2023,18275,94.0082079343365,17179.999999999996
Country,W92000004,WALES,2019,11745,94.6785866326096,11119.999999999998
Country,W92000004,WALES,2020,11385,92.5340360122969,10535.000000000002
Country,W92000004,WALES,2021,13945,91.1079239870921,12704.999999999993
Country,W92000004,WALES,2022,12090,91.8114143920596,11100.000000000007
Country,W92000004,WALES,2023,10520,93.1558935361217,9800.000000000002
Region,E12000006,EAST,2019,33995,95.2345933225474,32374.999999999985
Region,E12000006,EAST,2020,30140,93.7126741871267,28244.999999999985
Region,E12000006,EAST,2021,33150,93.634992458521893,31040.00000000001
Region,E12000006,EAST,2022,31850,92.3861852433281,29425
Region,E12000006,EAST,2023,30360,93.8405797101449,28489.99999999999
Region,E12000004,EAST MIDLANDS,2019,23215,94.8309282791299,22015.00000000001
Region,E12000004,EAST MIDLANDS,2020,22890,94.6701616426387,21670
Region,E12000004,EAST MIDLANDS,2021,23370,94.0094137783483,21970
Region,E12000004,EAST MIDLANDS,2022,22685,92.4840202777166,20980.00000000001
Region,E12000004,EAST MIDLANDS,2023,20495,92.8519151012442,19030
Region,E12000007,LONDON,2019,88550,94.3026538678713,83505.00000000004
Region,E12000007,LONDON,2020,79640,92.3593671521848,73554.99999999997
Region,E12000007,LONDON,2021,85305,94.0624816833714,80239.99999999997
Region,E12000007,LONDON,2022,76845,92.5629513956666,71130
Region,E12000007,LONDON,2023,74650,93.6034829202947,69874.99999999999
Region,E12000001,NORTH EAST,2019,9445,94.2297511911064,8900
Region,E12000001,NORTH EAST,2020,9085,93.8359933957072,8525
Region,E12000001,NORTH EAST,2021,10080,93.5019841269841,9424.999999999998
Region,E12000001,NORTH EAST,2022,9720,91.6666666666667,8910.000000000004
Region,E12000001,NORTH EAST,2023,8965,92.6938092582264,8309.999999999996
Region,E12000002,NORTH WEST,2019,36805,94.1855726124168,34665.00000000001
Region,E12000002,NORTH WEST,2020,35505,93.0291508238276,33029.99999999999
Region,E12000002,NORTH WEST,2021,39135,92.1298070780631,36054.99999999999
Region,E12000002,NORTH WEST,2022,36220,92.0347874102706,33335.00000000001
Region,E12000002,NORTH WEST,2023,33005,92.9859112255719,30690.000000000004
Region,E12000008,SOUTH EAST,2019,51560,94.9088440651668,48935
Region,E12000008,SOUTH EAST,2020,47685,90.9300618643179,43359.99999999999
Region,E12000008,SOUTH EAST,2021,48375,94.046511627907,45495.00000000001
Region,E12000008,SOUTH EAST,2022,44160,93.3763586956522,41235.000000000015
Region,E12000008,SOUTH EAST,2023,42955,94.2265161215225,40474.999999999985
Region,E12000009,SOUTH WEST,2019,23940,95.0083542188805,22744.99999999999
Region,E12000009,SOUTH WEST,2020,23370,93.4103551561831,21829.99999999999
Region,E12000009,SOUTH WEST,2021,25930,93.8488237562669,24335.000000000004
Region,E12000009,SOUTH WEST,2022,24510,92.6152590779274,22700.000000000004
Region,E12000009,SOUTH WEST,2023,22875,93.4426229508197,21375.000000000004
Region,E12000005,WEST MIDLANDS,2019,34440,95.3252032520325,32829.99999999999
Region,E12000005,WEST MIDLANDS,2020,28145,93.8354947592823,26410.000000000004
Region,E12000005,WEST MIDLANDS,2021,34155,92.4901185770751,31590
Region,E12000005,WEST MIDLANDS,2022,28695,91.3748039728176,26220.00000000001
Region,E12000005,WEST MIDLANDS,2023,26275,92.4833491912464,24299.99999999999
Region,E12000003,YORKSHIRE AND THE HUMBER,2019,23405,94.5738090151677,22135
Region,E12000003,YORKSHIRE AND THE HUMBER,2020,22655,93.511366144339,21185
Region,E12000003,YORKSHIRE AND THE HUMBER,2021,24985,93.3960376225735,23334.99999999999
Region,E12000003,YORKSHIRE AND THE HUMBER,2022,25895,91.658621355474,23734.99999999999
Region,E12000003,YORKSHIRE AND THE HUMBER,2023,22280,92.5493716337522,20619.99999999999
UK,K02000001,UNITED KINGDOM,2019,363825,94.5894317322889,344140.00000000006
UK,K02000001,UNITED KINGDOM,2020,333020,92.9283526514924,309470
UK,K02000001,UNITED KINGDOM,2021,363995,93.3858981579417,339919.9999999998
UK,K02000001,UNITED KINGDOM,2022,336925,92.338057431179,311109.9999999998
UK,K02000001,UNITED KINGDOM,2023,316025,93.3913456213907,295139.99999999994
